"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"pX356.328491210938...954.400024414062","pX356.328491210938...954.400024414062",1.64604913748751,8.88382390344466e-12,-2.79650734888197
"pX295.167388916016...1043.19995117188","pX295.167388916016...1043.19995117188",1.64561020975091,4.2157482013916e-11,-2.61218411507458
"pX355.302291870117...954.400024414062","pX355.302291870117...954.400024414062",1.64520585693467,9.24420394860095e-12,-3.34389587567035
"pX356.310485839844...954.400024414062","pX356.310485839844...954.400024414062",1.64520489991291,8.99571805317739e-12,-2.8798293095473
"pX355.284301757812...954.400024414062","pX355.284301757812...954.400024414062",1.6450281118797,9.33993089325772e-12,-2.23668760221783
"pX357.139633178711...954.400024414062","pX357.139633178711...954.400024414062",1.64459584698579,9.24108935497333e-12,-2.27650628445036
"pX353.146743774414...953.600036621094","pX353.146743774414...953.600036621094",1.64425328893868,9.88145803711703e-12,-5.02389757126767
"pX507.326934814453...2029.59997558594","pX507.326934814453...2029.59997558594",1.64422694911973,2.72225095101028e-11,-1.92810078316723
"nX693.387939453125...1895.76556396484","nX693.387939453125...1895.76556396484",1.64368930162225,1.00736106715548e-11,-4.48316885592877
"pX463.290390014648...1042.40014648438","pX463.290390014648...1042.40014648438",1.64320134047095,2.21104289056932e-10,-2.11042163402883
"pX355.176391601562...954.400024414062","pX355.176391601562...954.400024414062",1.64306089428099,9.53682826820273e-12,-1.81531712726053
"pX355.518188476562...954.400024414062","pX355.518188476562...954.400024414062",1.64241316307893,1.01117100369366e-11,-2.24601523904342
"pX355.500183105469...954.400024414062","pX355.500183105469...954.400024414062",1.64022575053962,1.09480882205146e-11,-2.12332092509021
"nX716.3447265625...1895.20007324219","nX716.3447265625...1895.20007324219",1.63929015103905,1.34049014107474e-11,-2.93215962436822
"nX346.904602050781...1186.47235107422","nX346.904602050781...1186.47235107422",1.63710091278945,1.77925292292998e-11,-3.64462571369529
"pX386.187103271484...1043.2001953125","pX386.187103271484...1043.2001953125",1.63703856051035,9.88226491911187e-11,-2.87574525057651
"nX223.049392700195...1186.40002441406","nX223.049392700195...1186.40002441406",1.63703233185525,2.54588386132092e-11,-2.16792706139531
"pX355.482192993164...954.400024414062","pX355.482192993164...954.400024414062",1.63529318989188,1.30790110290552e-11,-1.1341223653339
"pX355.968200683594...954.400024414062","pX355.968200683594...954.400024414062",1.63312107010715,1.41029323792939e-11,-2.53165384801598
"pX299.264404296875...954.399963378906","pX299.264404296875...954.399963378906",1.63259831836888,1.45164359276216e-11,-3.74295403154845
"nX236.048889160156...1187.19995117188","nX236.048889160156...1187.19995117188",1.63182933047413,1.52193559764882e-11,-2.32620369354414
"pX355.338287353516...954.400024414062","pX355.338287353516...954.400024414062",1.63153082688864,1.461922120457e-11,-1.59570765625629
"pX355.320281982422...655.200012207031","pX355.320281982422...655.200012207031",1.6312438280068,1.51560928676362e-11,-3.12562833884281
"pX309.152099609375...1391.20007324219","pX309.152099609375...1391.20007324219",1.63011020790102,2.54588386132092e-11,-2.56655813941565
"pX357.157684326172...655.200012207031","pX357.157684326172...655.200012207031",1.62936210859918,1.61428481519414e-11,-7.49723356108193
"nX353.118804931641...653.483581542969","nX353.118804931641...653.483581542969",1.62934073584757,8.31200373327214e-11,-3.85119411053567
"pX357.157684326172...954.400024414062","pX357.157684326172...954.400024414062",1.62847407344829,1.60542782821687e-11,-1.86698127413335
"nX207.080795288086...1186.39990234375","nX207.080795288086...1186.39990234375",1.62830681646644,8.25658005044315e-11,-3.60075725467252
"nX348.076995849609...1187.19659423828","nX348.076995849609...1187.19659423828",1.62754484457661,1.62982501394145e-11,-3.8698031717422
"nX354.123992919922...653.483581542969","nX354.123992919922...653.483581542969",1.62745895038614,9.78057760526811e-11,-3.07757594205407
"nX355.130584716797...652.863098144531","nX355.130584716797...652.863098144531",1.62618487430554,9.66816359123247e-10,-1.35152123458485
"nX354.141876220703...653.483581542969","nX354.141876220703...653.483581542969",1.62543275849382,1.06828945651978e-10,-2.21185877504069
"pX355.536193847656...954.400024414062","pX355.536193847656...954.400024414062",1.62493394136154,1.77925292292998e-11,-1.94225049539344
"nX715.374816894531...1895.85913085938","nX715.374816894531...1895.85913085938",1.62337206875172,2.81189487384924e-11,-2.55693098585923
"nX208.057441711426...1186.52362060547","nX208.057441711426...1186.52362060547",1.62242243226721,2.28291662490985e-11,-4.06583155206697
"nX334.222595214844...1072.80004882812","nX334.222595214844...1072.80004882812",1.62237538527204,7.39438853565738e-11,-1.49451281476511
"nX353.136779785156...653.456787109375","nX353.136779785156...653.456787109375",1.6218444663921,1.25398381806076e-10,-2.35648287679989
"pX354.133880615234...953.599975585938","pX354.133880615234...953.599975585938",1.62103830180933,2.28291662490985e-11,-4.24829013354131
"nX207.067092895508...1186.40002441406","nX207.067092895508...1186.40002441406",1.62101278714382,1.11892600136735e-10,-2.79254163449066
"pX355.698181152344...954.400024414062","pX355.698181152344...954.400024414062",1.62087822725415,2.05183042855142e-11,-1.26647449104042
"nX278.083190917969...1186.40002441406","nX278.083190917969...1186.40002441406",1.62069966536054,1.01226104033973e-10,-2.76586698016196
"pX355.338287353516...655.200012207031","pX355.338287353516...655.200012207031",1.62001700574716,2.28291662490985e-11,-6.80370673767221
"nX347.117889404297...1187.18719482422","nX347.117889404297...1187.18719482422",1.61787047423578,1.00453501748805e-10,-3.22791560639194
"pX316.12158203125...1043.20007324219","pX316.12158203125...1043.20007324219",1.61774289753141,9.83037552440772e-11,-3.21563357145038
"nX347.082794189453...1186.40002441406","nX347.082794189453...1186.40002441406",1.6173396444493,1.10299410761832e-10,-2.01632697485773
"nX235.111297607422...1186.40002441406","nX235.111297607422...1186.40002441406",1.61690429247667,1.27310370997316e-10,-2.6876720137309
"pX309.168884277344...1391.20007324219","pX309.168884277344...1391.20007324219",1.61667537975254,3.32387908589662e-11,-4.00231860712636
"nX347.1005859375...1186.67248535156","nX347.1005859375...1186.67248535156",1.6164650859393,9.26349793868269e-11,-2.08193919834832
"pX355.374389648438...954.400024414062","pX355.374389648438...954.400024414062",1.61633006952336,2.55898256378468e-11,-1.67410163217542
"pX598.427856445312...2107.19995117188","pX598.427856445312...2107.19995117188",1.61470108561081,3.72956383213328e-11,-1.81164224224574
"pX356.238403320312...954.400024414062","pX356.238403320312...954.400024414062",1.61397200167972,2.88783998817197e-11,-1.81400481291758
"nX235.096694946289...1186.39990234375","nX235.096694946289...1186.39990234375",1.61395727831518,1.0848779092699e-10,-3.29093046341545
"nX235.082000732422...1186.39990234375","nX235.082000732422...1186.39990234375",1.61394966448684,1.32196708559692e-10,-2.44078647885763
"nX347.065093994141...1186.40002441406","nX347.065093994141...1186.40002441406",1.61309768214736,1.78981584068149e-10,-3.83224710079837
"pX223.059295654297...1187.20007324219","pX223.059295654297...1187.20007324219",1.61307899431777,8.3994991750374e-11,-3.33795663257732
"nX607.195434570312...1485.03601074219","nX607.195434570312...1485.03601074219",1.61219495017805,2.86408317480106e-11,-6.41412251592579
"pX224.086791992188...1293.59997558594","pX224.086791992188...1293.59997558594",1.61166691711689,3.38291417687771e-11,-3.05881773025036
"pX355.986297607422...954.400024414062","pX355.986297607422...954.400024414062",1.61127777597881,2.80474368026006e-11,-1.52980485841124
"nX355.148498535156...653.262145996094","nX355.148498535156...653.262145996094",1.61070808170864,1.99410751732235e-10,-1.49435638935448
"pX224.086791992188...1187.19995117188","pX224.086791992188...1187.19995117188",1.60941447824892,1.04425221031391e-10,-1.74165517870063
"nX348.114501953125...1186.6181640625","nX348.114501953125...1186.6181640625",1.6086870596924,8.33397234618174e-11,-1.98878181897935
"nX235.052795410156...1186.37091064453","nX235.052795410156...1186.37091064453",1.60826540672157,1.91629507700238e-10,-3.13690755502401
"pX397.199081420898...1324.00012207031","pX397.199081420898...1324.00012207031",1.60804654198912,5.37401221707724e-10,-1.72281690805044
"pX355.230346679688...655.200012207031","pX355.230346679688...655.200012207031",1.60790457691888,3.35989429785087e-11,-3.43289883313032
"nX333.089294433594...1072.77673339844","nX333.089294433594...1072.77673339844",1.60758889157557,1.13723242599034e-10,-1.15476006719186
"nX490.28938293457...1485.78515625","nX490.28938293457...1485.78515625",1.60674105594157,3.48950766735552e-11,-5.5826072532988
"pX335.24674987793...1072.80004882812","pX335.24674987793...1072.80004882812",1.60642411332428,1.24184622635527e-08,-2.02130470103597
"nX333.734191894531...1072.80004882812","nX333.734191894531...1072.80004882812",1.60640233620543,8.57685408567525e-11,-2.08665399769871
"nX235.067398071289...1186.36682128906","nX235.067398071289...1186.36682128906",1.60598354921629,2.37531934223243e-10,-3.48717798719355
"nX347.135681152344...1187.19995117188","nX347.135681152344...1187.19995117188",1.60558682341245,1.75210172435252e-10,-2.49883969426089
"pX223.073501586914...1186.93200683594","pX223.073501586914...1186.93200683594",1.60538353118987,1.27518076982138e-10,-1.46828463235204
"pX167.010192871094...1187.19995117188","pX167.010192871094...1187.19995117188",1.60447828772886,1.07225789019607e-10,-3.09228456909825
"pX223.087799072266...1186.40002441406","pX223.087799072266...1186.40002441406",1.60375109683366,1.54899144876603e-10,-1.40169717562834
"pX355.21240234375...655.200012207031","pX355.21240234375...655.200012207031",1.60370961136467,3.85148500794012e-11,-4.26576915594926
"nX193.042297363281...1072.8","nX193.042297363281...1072.8",1.60307621062656,2.2350002203521e-10,-1.89591524383945
"nX333.699279785156...1072.80004882812","nX333.699279785156...1072.80004882812",1.60304649660294,1.17365512544687e-10,-3.18920880995764
"pX167.022598266602...1293.59997558594","pX167.022598266602...1293.59997558594",1.60268156543643,7.52561190880784e-11,-3.19729957919138
"pX293.10498046875...1225.60009765625","pX293.10498046875...1225.60009765625",1.60224987902241,9.27575159187339e-11,-2.49427991609108
