"","name","VIP","t_test_table$adj.P.Val","FC_table$logFC"
"nX603.25048828125...1485.59991455078","nX603.25048828125...1485.59991455078",1.58257138850543,8.57685408567525e-11,-2.30883387040595
"nX333.699279785156...1072.80004882812","nX333.699279785156...1072.80004882812",1.60304649660294,1.17365512544687e-10,-3.18920880995764
"pX223.101989746094...1072.80004882812","pX223.101989746094...1072.80004882812",1.57715437841843,1.1283183393733e-10,-2.45021799364696
"pX410.219436645508...609.600036621094","pX410.219436645508...609.600036621094",1.68631537708376,4.94320834464231e-07,-2.43223713734063
"pX357.211791992188...954.400024414062","pX357.211791992188...954.400024414062",1.55599774084178,2.35667148886985e-10,-1.92528785147649
"nX375.525177001953...1416.79992675781","nX375.525177001953...1416.79992675781",1.53286685409489,4.32677204032702e-10,-2.77461895765547
"pX585.424133300781...2030.40002441406","pX585.424133300781...2030.40002441406",1.58148483612723,1.02575114617711e-10,-4.49763759169671
"nX379.307983398438...1095.15612792969","nX379.307983398438...1095.15612792969",1.552458302531,2.16484909876034e-10,-3.51700724584178
"nX380.126281738281...1095.19995117188","nX380.126281738281...1095.19995117188",1.5515140938679,2.17255920711513e-10,-4.40190620329942
"pX223.201797485352...1187.38427734375","pX223.201797485352...1187.38427734375",1.57406224292709,2.33648355479523e-10,-2.13051113225232
"nX333.298400878906...1072.80004882812","nX333.298400878906...1072.80004882812",1.58028475037893,1.6233209147996e-10,-2.44797114357815
"pX223.159088134766...1187.19995117188","pX223.159088134766...1187.19995117188",1.56481713515539,9.53303943837177e-10,-1.82932482019552
"nX353.531494140625...953.597229003906","nX353.531494140625...953.597229003906",1.43222930861174,1.00739681553e-08,-2.00275245012469
"pX294.151580810547...1226.39990234375","pX294.151580810547...1226.39990234375",1.53836100858308,3.49892049711513e-10,-3.15569460502905
"pX335.24674987793...1072.80004882812","pX335.24674987793...1072.80004882812",1.60642411332428,1.24184622635527e-08,-2.02130470103597
"nX483.297698974609...2025.51550292969","nX483.297698974609...2025.51550292969",1.57211042536689,1.4028151622921e-10,-1.41452291790403
